NUC_COD,NUC_NOMBRE,MUN_COD,MUN_NOMBRE,PROV_COD,PROV_NOMBRE,COM_COD,COM_NOMBRE,CCAA_COD,CCAA_NOMBRE,SHP_AREA,SHP_LEN,geometry
22157000601,Castarné,22157,Montanuy,22,Huesca,4,La Ribagorza,02,Aragón,19993.29416900000,669.22701477700,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.693097,42.442722 0.693429,42.443 0.694037,42.442869 0.694147,42.442443 0.694076,42.442001 0.69347,42.441142 0.69337,42.440455 0.693054,42.440443 0.692632,42.440935 0.693017,42.442113 0.693097,42.442722</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22157000101,Aneto,22157,Montanuy,22,Huesca,4,La Ribagorza,02,Aragón,11728.26794730000,473.58988728600,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.743557,42.555408 0.743603,42.555905 0.744039,42.556049 0.745893,42.555429 0.745212,42.55505 0.743557,42.555408</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22157001501,Señiu,22157,Montanuy,22,Huesca,4,La Ribagorza,02,Aragón,12859.74586010000,464.43440803000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.643822,42.460419 0.642902,42.461058 0.642973,42.461371 0.643845,42.461511 0.645,42.460558 0.64468,42.460313 0.643822,42.460419</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22158000101,Conchel,22158,Monzón,22,Huesca,8,Cinca Medio,02,Aragón,137311.36263300001,1973.53467674000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.14408,41.886496 0.145738,41.886533 0.146385,41.887341 0.146795,41.887068 0.147035,41.886333 0.146138,41.885298 0.146337,41.884573 0.145493,41.882911 0.144275,41.883348 0.142186,41.886088 0.143669,41.88911 0.145004,41.88848 0.14408,41.886496</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22158000501,Selgua,22158,Monzón,22,Huesca,8,Cinca Medio,02,Aragón,87260.95801360000,1517.74960800000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.123461,41.929635 0.121752,41.929834 0.12152,41.929586 0.120976,41.929637 0.120736,41.929317 0.120912,41.928722 0.120745,41.928487 0.119628,41.928735 0.118475,41.929516 0.117787,41.930001 0.118622,41.93032 0.118763,41.930615 0.118786,41.930891 0.118657,41.93125 0.119422,41.931405 0.119761,41.931446 0.120519,41.931463 0.120718,41.931746 0.121913,41.931425 0.121447,41.930834 0.122199,41.930726 0.122404,41.930938 0.123112,41.930671 0.123054,41.930469 0.123474,41.930283 0.123461,41.929635</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22158000301,Monzón,22158,Monzón,22,Huesca,8,Cinca Medio,02,Aragón,2865482.34469000017,12366.24838220000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.190077,41.921621 0.191613,41.922229 0.193728,41.919519 0.194045,41.919105 0.194152,41.917868 0.194266,41.916766 0.196088,41.918012 0.199147,41.918179 0.19936,41.917867 0.203442,41.912215 0.204178,41.908982 0.203846,41.907098 0.211802,41.901491 0.210515,41.899516 0.202228,41.903238 0.200198,41.905444 0.197241,41.906454 0.194676,41.90901 0.192836,41.908647 0.191699,41.90649 0.19035,41.906186 0.189972,41.907548 0.188383,41.90589 0.186241,41.901849 0.183748,41.902687 0.186066,41.906291 0.186149,41.909543 0.1823,41.910182 0.18194,41.914097 0.184368,41.913556 0.18511,41.914127 0.18682,41.912759 0.188971,41.913724 0.186405,41.91628 0.182746,41.917565 0.18388,41.919663 0.181302,41.923581 0.185311,41.924534 0.184649,41.927156 0.18813,41.927059 0.190077,41.921621</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22158700100,Monzón Granjas,22158,Monzón,22,Huesca,8,Cinca Medio,02,Aragón,23171.26844970000,731.59617364400,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.211611,41.892652 0.210745,41.893119 0.211404,41.893591 0.211166,41.894753 0.211828,41.895288 0.212465,41.894907 0.2122,41.894265 0.212598,41.893748 0.211611,41.892652</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22158000401,Poblado Monsanto,22158,Monzón,22,Huesca,8,Cinca Medio,02,Aragón,203869.25254600000,2027.49531823000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.159464,41.936638 0.159675,41.936911 0.160464,41.936517 0.160964,41.93614 0.161274,41.936317 0.161691,41.93666 0.16286,41.937953 0.16333,41.937765 0.163775,41.937593 0.165515,41.936943 0.167038,41.936756 0.166649,41.934589 0.16685,41.933992 0.166192,41.933609 0.16531,41.933881 0.16307,41.93267 0.160484,41.935448 0.159464,41.936638</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22158000200,La Estación de Selgua,22158,Monzón,22,Huesca,8,Cinca Medio,02,Aragón,66146.74721380000,1089.21982722000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.148085,41.909461 0.149281,41.909222 0.150274,41.908673 0.150788,41.908981 0.151398,41.908563 0.151291,41.90757 0.150011,41.907165 0.147914,41.906676 0.147702,41.907319 0.147859,41.908027 0.147409,41.908114 0.148085,41.909461</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22160000201,Mipanas,22160,Naval,22,Huesca,7,Somontano de Barbastro,02,Aragón,46162.23300260000,985.65796094300,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.213744,42.215365 0.215899,42.215597 0.217828,42.214827 0.218021,42.214301 0.216517,42.214409 0.214795,42.214099 0.213195,42.214469 0.212996,42.215288 0.213744,42.215365</coordinates></LinearRing></outerBoundaryIs></Polygon>"
