MUN_URI,DBPEDIA_LINK
"http://opendata.aragon.es/recurso/territorio/Municipio/Laspaúles","http://es.dbpedia.org/resource/Laspaúles"
"http://opendata.aragon.es/recurso/territorio/Municipio/Loporzano","http://es.dbpedia.org/resource/Loporzano"
"http://opendata.aragon.es/recurso/territorio/Municipio/Loscorrales","http://es.dbpedia.org/resource/Loscorrales"
"http://opendata.aragon.es/recurso/territorio/Municipio/Montanuy","http://es.dbpedia.org/resource/Montanuy"
"http://opendata.aragon.es/recurso/territorio/Municipio/Monflorite-Lascasas","http://es.dbpedia.org/resource/Monflorite-Lascasas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Monzón","http://es.dbpedia.org/resource/Monzón"
"http://opendata.aragon.es/recurso/territorio/Municipio/Naval","http://es.dbpedia.org/resource/Naval"
"http://opendata.aragon.es/recurso/territorio/Municipio/Novales","http://es.dbpedia.org/resource/Novales"
"http://opendata.aragon.es/recurso/territorio/Municipio/Nueno","http://es.dbpedia.org/resource/Nueno"
"http://opendata.aragon.es/recurso/territorio/Municipio/Olvena","http://es.dbpedia.org/resource/Olvena"
"http://opendata.aragon.es/recurso/territorio/Municipio/Ontiñena","http://es.dbpedia.org/resource/Ontiñena"
"http://opendata.aragon.es/recurso/territorio/Municipio/Panticosa","http://es.dbpedia.org/resource/Panticosa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Palo","http://es.dbpedia.org/resource/Palo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Peñalba","http://es.dbpedia.org/resource/Peñalba"
"http://opendata.aragon.es/recurso/territorio/Municipio/Perarrúa","http://es.dbpedia.org/resource/Perarrúa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Pertusa","http://es.dbpedia.org/resource/Pertusa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Peraltilla","http://es.dbpedia.org/resource/Peraltilla"
"http://opendata.aragon.es/recurso/territorio/Municipio/Piracés","http://es.dbpedia.org/resource/Piracés"
"http://opendata.aragon.es/recurso/territorio/Municipio/Poleñino","http://es.dbpedia.org/resource/Poleñino"
"http://opendata.aragon.es/recurso/territorio/Municipio/Plan","http://es.dbpedia.org/resource/Plan"
"http://opendata.aragon.es/recurso/territorio/Municipio/Puértolas","http://es.dbpedia.org/resource/Puértolas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Quicena","http://es.dbpedia.org/resource/Quicena"
